TIME: 1.607s	SCORE: 0.3683	SRC: nllb	DEVICE: cpu	JP: 変更内容	VI:  thay đổi nội dung
TIME: 1.291s	SCORE: 0.3251	SRC: nllb	DEVICE: cpu	JP: 対象のシート	VI: 対象のシート
TIME: 2.149s	SCORE: 0.3969	SRC: nllb	DEVICE: cpu	JP: 地区名の最大文字数を20→12へ訂正	VI: 地区名最大文字数20→12へ訂正
TIME: 0.966s	SCORE: 0.3683	SRC: nllb	DEVICE: cpu	JP: 変更内容	VI:  thay đổi nội dung
TIME: 10.544s	SCORE: 0.3683	SRC: nllb	DEVICE: cpu	JP: 変更内容	VI:  sửa đổi nội dung
TIME: 8.228s	SCORE: 0.3683	SRC: nllb	DEVICE: cpu	JP: 変更内容	VI:  sửa đổi nội dung
TIME: 8.877s	SCORE: 0.3969	SRC: nllb	DEVICE: cpu	JP: 地区名の最大文字数を20→12へ訂正	VI: 地区名最大文字数を20→12へ訂正
TIME: 1.712s	SCORE: 0.3969	SRC: nllb	DEVICE: cpu	JP: 地区名の最大文字数を20→12へ訂正	VI: 地区名最大文字数20→12へ訂正
TIME: 2.475s	SCORE: 0.3969	SRC: nllb	DEVICE: cpu	JP: 地区名の最大文字数を20→12へ訂正	VI: Số chữ số lớn nhất của tên khu vực là 20→12
TIME: 1.022s	SCORE: 0.3683	SRC: nllb	DEVICE: cpu	JP: 変更内容	VI: Các thay đổi
TIME: 1.608s	SCORE: 0.3251	SRC: nllb	DEVICE: cpu	JP: 対象のシート	VI: Vỏ đối tượng
TIME: 0.176s	SCORE: 1.0000	SRC: database	DEVICE: cpu	JP: データフロー図は、データ処理のエラーログ記録手順を定義します。	VI: Sơ đồ luồng dữ liệu xác định quy trình ghi nhật ký lỗi của xử lý dữ liệu.
TIME: 2.095s	SCORE: 0.8351	SRC: nllb	DEVICE: cpu	JP: データフロー図	VI: Dữ liệu dòng chảy
TIME: 1.980s	SCORE: 0.3683	SRC: nllb		DEVICE: cpu	JP: 変更内容	VI: Các thay đổi
TIME: 1.535s	SCORE: 0.2146	SRC: nllb		DEVICE: cpu	JP: 今日は3日	VI: Hôm nay là 3 ngày.
TIME: 2.511s	SCORE: 0.2800	SRC: nllb		DEVICE: cpu	JP: ０:本社、 1:スリーピース、 2:関東	VI: 0: Sở chính, 1: Sleeppiece, 2: Kanton
TIME: 1.071s	SCORE: 0.2682	SRC: nllb		DEVICE: cpu	JP: 閉じる	VI: Đóng lại.
TIME: 0.949s	SCORE: 0.4780	SRC: nllb		DEVICE: cpu	JP: 更新処理	VI: Tận dụng
TIME: 9.709s	SCORE: 0.4780	SRC: nllb		DEVICE: cpu	JP: 更新処理	VI: Quá trình cập nhật
TIME: 9.269s	SCORE: 0.5693	SRC: nllb		DEVICE: cpu	JP: 起動処理実行	VI: Khởi động xử lý
TIME: 0.221s	SCORE: 1.0000	SRC: database		DEVICE: cpu	JP: データフロー図は、データ処理の並列実行パスを示します。	VI: Sơ đồ luồng dữ liệu thể hiện các đường dẫn thực thi song song của xử lý dữ liệu.
TIME: 0.240s	SCORE: 0.9981	SRC: database		DEVICE: cpu	JP: データフロー図は、データ処理の並列実行パスを示し  	VI: Sơ đồ luồng dữ liệu thể hiện các đường dẫn thực thi song song của xử lý dữ liệu.
TIME: 10.578s	SCORE: 0.4926	SRC: nllb		DEVICE: cpu	JP: 登録日時が空欄の場合	VI: Ngày đăng ký nếu không có
TIME: 9.483s	SCORE: 0.3232	SRC: nllb		DEVICE: cpu	JP: 値が入っている場合	VI: Nếu có giá trị
TIME: 11.089s	SCORE: 0.5149	SRC: nllb		DEVICE: cpu	JP: 登録日時	VI: Ngày đăng ký
TIME: 0.309s	SCORE: 1.0000	SRC: database		DEVICE: cpu	JP: APIは、リクエストのバリデーションエラーを一意のエラーコードで識別します。	VI: API xác định lỗi xác thực yêu cầu bằng mã lỗi duy nhất.
TIME: 8.495s	SCORE: 0.3683	SRC: nllb		DEVICE: cpu	JP: 変更内容	VI: Thay đổi nội dung
TIME: 0.254s	SCORE: 1.0000	SRC: database		DEVICE: cpu	JP: 患者は末梢神経障害を伴う高血圧を呈した。	VI: Bệnh nhân có biểu hiện tăng huyết áp kèm theo tổn thương thần kinh ngoại biên.
TIME: 0.188s	SCORE: 0.9852	SRC: database		DEVICE: cpu	JP: 患者は末梢神経障害を伴う高血圧を。	VI: Bệnh nhân có biểu hiện tăng huyết áp kèm theo tổn thương thần kinh ngoại biên.
